,loxTankDucer,,kerTankDucer,,purgeDucer,,loxInletDucer,,kerInletDucer,,kerPintleDucer,,loxVenturi,,kerVenturi,,loadCell,,pneumaticDucer,,loxRegDucer,,kerRegDucer,,n2pressDucer,
ONLINE_SAFE,0,30,0,30,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,0,800,0,900,1000,2000
KER_FILL,0,30,0,30,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,0,30,0,30,1000,2000
KER_POST_FILL,0,30,0,30,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,0,30,0,30,1000,2000
LOX_FILL,0,30,0,30,200,500,0,30,0,30,0,30,0,20,0,10,0,30,90,140,0,800,0,900,1000,2000
LOX_POST_FILL,0,30,0,30,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,0,800,0,900,1000,2000
ALL_READY_TO_PRESSURIZE,0,200,0,30,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,550,800,550,900,1000,2000
ALL_PRESSURIZING,550,800,550,900,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,550,800,550,900,1000,2000
LOX_PRESSURIZING,550,800,0,30,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,550,800,550,900,1000,2000
KER_PRESSURIZING,0,30,550,900,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,550,800,550,900,1000,2000
ALL_FLOW,550,800,550,900,200,500,550,800,550,900,550,900,0,150,0,150,650,850,90,140,550,800,550,900,1000,2000
LOX_FLOW,550,800,0,900,200,500,550,800,0,50,0,30,0,150,0,10,0,30,90,140,550,800,550,900,1000,2000
KER_FLOW,0,800,550,900,200,500,0,50,550,900,550,900,0,10,0,150,0,30,90,140,550,800,550,900,1000,2000
LOX_GRAV_FLOW,0,800,0,900,200,500,0,200,0,50,0,50,0,80,0,10,0,30,90,140,0,800,0,900,1000,2000
LOX_ENGINE_PURGE,0,800,0,900,200,500,0,350,0,50,0,50,0,10,0,10,0,30,90,140,0,800,0,900,1000,2000
KER_ENGINE_PURGE,0,800,0,900,200,500,0,50,0,350,0,350,0,10,0,10,0,30,90,140,0,800,0,900,1000,2000
ALL_ENGINE_PURGE,0,800,0,900,200,500,0,350,0,350,0,350,0,10,0,10,0,30,90,140,0,800,0,900,1000,2000
PRESSURIZED_ALL_ENGINE_PURGE,550,800,550,900,200,500,0,350,0,350,0,350,0,10,0,10,0,30,90,140,550,800,550,900,1000,2000
LOX_TANK_PURGE,550,800,550,900,200,500,0,350,0,50,0,50,0,150,0,150,0,30,90,140,550,800,550,900,1000,2000
KER_TANK_PURGE,550,800,550,900,200,500,0,50,0,350,0,350,0,150,0,150,0,30,90,140,550,800,550,900,1000,2000
ALL_TANK_PURGE,550,800,550,900,200,500,0,350,0,350,0,350,0,150,0,150,0,30,90,140,550,800,550,900,1000,2000
LOX_FLUTTER_CLOSED,550,800,0,900,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,550,800,550,900,1000,2000
LOX_FLUTTER_OPEN,550,800,0,900,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,550,800,550,900,1000,2000
KER_FLUTTER_CLOSED,0,800,550,900,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,550,800,550,900,1000,2000
KER_FLUTTER_OPEN,0,800,550,900,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,550,800,550,900,1000,2000
CATCH_ALL,0,800,0,900,200,500,0,30,0,30,0,30,0,10,0,10,0,30,90,140,0,800,0,900,1000,2000
